code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,time_idx,month
US.AAPL,Apple,2025-07-24 00:00:00,213.9,213.76,215.69,213.53,35.157,0.00309,46022620,9866900137.0,-0.18211533971515984,214.15,138,7
US.AAPL,Apple,2025-07-25 00:00:00,214.7,213.88,215.24,213.4,35.177,0.0027,40268781,8622691356.0,0.05613772455090034,213.76,139,7
US.AAPL,Apple,2025-07-28 00:00:00,214.03,214.05,214.845,213.06,35.205,0.00254,37858017,8103129929.0,0.07948382270432762,213.88,140,7
US.AAPL,Apple,2025-07-29 00:00:00,214.175,211.27,214.81,210.82,34.748,0.00345,51411723,10905680018.0,-1.298761971501986,214.05,141,7
US.AAPL,Apple,2025-07-30 00:00:00,211.895,209.05,212.39,207.72,34.383,0.00305,45512514,9535177657.0,-1.0507880910683007,211.27,142,7
US.AAPL,Apple,2025-07-31 00:00:00,208.49,207.57,209.84,207.16,34.139,0.00544,80698431,16865554038.0,-0.7079646017699202,209.05,143,7
US.AAPL,Apple,2025-08-01 00:00:00,210.865,202.38,213.58,201.5,33.286,0.00704,104434473,21357583016.0,-2.5003613238907345,207.57,144,8
US.AAPL,Apple,2025-08-04 00:00:00,204.505,203.35,207.88,201.675,33.445,0.00506,75109298,15338453269.0,0.47929637315940254,202.38,145,8
US.AAPL,Apple,2025-08-05 00:00:00,203.4,202.92,205.34,202.16,33.375,0.00298,44155079,8987677947.0,-0.21145807720678972,203.35,146,8
US.AAPL,Apple,2025-08-06 00:00:00,205.63,213.25,215.38,205.59,35.074,0.00731,108483103,23091424909.0,5.090676128523563,202.92,147,8
US.AAPL,Apple,2025-08-07 00:00:00,218.875,220.03,220.85,216.58,36.189,0.00608,90224834,19788714472.0,3.17936694021102,213.25,148,8
US.AAPL,Apple,2025-08-08 00:00:00,220.83,229.35,231.0,219.25,37.722,0.00768,113853967,25879819066.0,4.235786029177836,220.03,149,8
US.AAPL,Apple,2025-08-11 00:00:00,227.92,227.18,229.56,224.76,37.365,0.00417,61806132,14049952812.0,-0.9461521691737464,229.35,150,8
US.AAPL,Apple,2025-08-12 00:00:00,228.005,229.65,230.8,227.07,37.771,0.00375,55672301,12767634937.0,1.0872435953869173,227.18,151,8
